Date,Day,Platform,VideoLengthSeconds,StoryboardSummary,Caption,Hashtags,AssetsNeeded
2026-08-07,1,FB/IG,18,"App splash -> create pact -> success animation","Turn promises into progress — start your first pact today.","#PeakPact #HabitApp #Productivity","logo.png;splash.mp4;create_pact_screen.mov"
2026-08-07,1,TikTok,18,"App splash -> create pact -> success animation","Turn promises into progress — start your first pact today.","#PeakPact #HabitApp #Productivity","logo.png;vertical_splash.mp4;create_pact_vertical.mov"
2026-08-08,2,FB/IG,18,"Hook: accountability -> create pact UI -> streak calendar","Make a pact with yourself and keep it. Accountability that works.","#Accountability #Goals #PeakPact","create_pact_screen.mov;streak_calendar.mov"
2026-08-08,2,TikTok,18,"Hook: accountability -> create pact UI -> streak calendar","Make a pact with yourself and keep it. Accountability that works.","#Accountability #Goals #PeakPact","create_pact_vertical.mov;streak_calendar_vertical.mov"
2026-08-09,3,FB/IG,18,"Mission briefing card -> step completion -> success","Guided missions that help you build habits step-by-step. Try one today.","#Missions #Habits #PeakPact","mission_briefing.mov;mission_steps.gif"
2026-08-09,3,TikTok,18,"Mission briefing card -> step completion -> success","Guided missions that help you build habits step-by-step. Try one today.","#Missions #Habits #PeakPact","mission_briefing_vertical.mov;mission_steps_vertical.gif"
2026-08-10,4,FB/IG,18,"XP bar filling -> level-up confetti","Earn XP and level up your life. Celebrate small wins.","#Gamification #LevelUp #PeakPact","xp_fill.mov;level_up_confetti.mp4"
2026-08-10,4,TikTok,18,"XP bar filling -> level-up confetti","Earn XP and level up your life. Celebrate small wins.","#Gamification #LevelUp #PeakPact","xp_fill_vertical.mov;level_up_confetti_vertical.mp4"
2026-08-11,5,FB/IG,18,"Daily checklist -> auto-advance -> completion","Create a daily loop that keeps you consistent. Start your ritual.","#DailyRituals #Streaks #PeakPact","daily_checklist.mov;auto_advance.gif"
2026-08-11,5,TikTok,18,"Daily checklist -> auto-advance -> completion","Create a daily loop that keeps you consistent. Start your ritual.","#DailyRituals #Streaks #PeakPact","daily_checklist_vertical.mov;auto_advance_vertical.gif"
2026-08-12,6,FB/IG,18,"Tap mic -> waveform -> saved","Record quick voice reports and stay focused. Fast and easy.","#VoiceNotes #Focus #PeakPact","record_voice.mov;waveform.gif"
2026-08-12,6,TikTok,18,"Tap mic -> waveform -> saved","Record quick voice reports and stay focused. Fast and easy.","#VoiceNotes #Focus #PeakPact","record_voice_vertical.mov;waveform_vertical.gif"
2026-08-13,7,FB/IG,18,"Progress graphs -> streaks -> snapshot","Progress at a glance — see your momentum grow.","#Progress #Analytics #PeakPact","progress_graphs.mov;snapshot.png"
2026-08-13,7,TikTok,18,"Progress graphs -> streaks -> snapshot","Progress at a glance — see your momentum grow.","#Progress #Analytics #PeakPact","progress_graphs_vertical.mov;snapshot_vertical.png"
2026-08-14,8,FB/IG,18,"Calendar streak filling -> reminder popup","Keep your streak alive. The simplest way to stay consistent.","#Streaks #Consistency #PeakPact","streak_calendar.mov;reminder_popup.mov"
2026-08-14,8,TikTok,18,"Calendar streak filling -> reminder popup","Keep your streak alive. The simplest way to stay consistent.","#Streaks #Consistency #PeakPact","streak_calendar_vertical.mov;reminder_popup_vertical.mov"
2026-08-15,9,FB/IG,18,"Testimonial clips montage -> celebration","Join a community of people smashing goals together.","#Community #Wins #PeakPact","testimonials.mp4;community_montage.mov"
2026-08-15,9,TikTok,18,"Testimonial clips montage -> celebration","Join a community of people smashing goals together.","#Community #Wins #PeakPact","testimonials_vertical.mp4;community_montage_vertical.mov"
2026-08-16,10,FB/IG,18,"Unlock reward -> premium boost animation","Unlock rewards and premium boosts as you commit.","#Rewards #Incentives #PeakPact","reward_unlock.mov;premium_boost.mp4"
2026-08-16,10,TikTok,18,"Unlock reward -> premium boost animation","Unlock rewards and premium boosts as you commit.","#Rewards #Incentives #PeakPact","reward_unlock_vertical.mov;premium_boost_vertical.mp4"
2026-08-17,11,FB/IG,18,"Premium badge -> exclusive features showcase","Get exclusive founder perks and early features. Try the trial.","#Founder #Premium #PeakPact","premium_badge.png;founder_features.mov"
2026-08-17,11,TikTok,18,"Premium badge -> exclusive features showcase","Get exclusive founder perks and early features. Try the trial.","#Founder #Premium #PeakPact","premium_badge_vertical.png;founder_features_vertical.mov"
2026-08-18,12,FB/IG,18,"Onboarding screens auto-advance -> ready","Setup in 60 seconds — onboarding that gets you moving.","#Onboarding #QuickStart #PeakPact","onboarding_screens.mov;quick_setup.mp4"
2026-08-18,12,TikTok,18,"Onboarding screens auto-advance -> ready","Setup in 60 seconds — onboarding that gets you moving.","#Onboarding #QuickStart #PeakPact","onboarding_screens_vertical.mov;quick_setup_vertical.mp4"
2026-08-19,13,FB/IG,18,"Settings -> privacy toggles -> reassurance","Your privacy matters — we keep your data safe.","#Privacy #Trust #PeakPact","settings_privacy.mov;privacy_badge.png"
2026-08-19,13,TikTok,18,"Settings -> privacy toggles -> reassurance","Your privacy matters — we keep your data safe.","#Privacy #Trust #PeakPact","settings_privacy_vertical.mov;privacy_badge_vertical.png"
2026-08-20,14,FB/IG,18,"Notification -> open app -> action","Gentle nudges at the right time — smart reminders that help.","#Reminders #HabitChange #PeakPact","notification.mov;open_app.mov"
2026-08-20,14,TikTok,18,"Notification -> open app -> action","Gentle nudges at the right time — smart reminders that help.","#Reminders #HabitChange #PeakPact","notification_vertical.mov;open_app_vertical.mov"
2026-08-21,15,FB/IG,18,"Offline mode use -> sync icon -> synced","Work offline — sync when you're ready.","#OfflineFirst #Sync #PeakPact","offline_flow.mov;sync_animation.gif"
2026-08-21,15,TikTok,18,"Offline mode use -> sync icon -> synced","Work offline — sync when you're ready.","#OfflineFirst #Sync #PeakPact","offline_flow_vertical.mov;sync_animation_vertical.gif"
2026-08-22,16,FB/IG,18,"AI tip card -> suggested tweak -> apply","AI-powered tips to make your missions smarter.","#AI #Personalization #PeakPact","ai_tip_card.mov;suggestion_apply.mov"
2026-08-22,16,TikTok,18,"AI tip card -> suggested tweak -> apply","AI-powered tips to make your missions smarter.","#AI #Personalization #PeakPact","ai_tip_card_vertical.mov;suggestion_apply_vertical.mov"
2026-08-23,17,FB/IG,18,"Challenge accept -> timer -> reward","Take today's challenge — extra XP awaits.","#DailyChallenge #Motivation #PeakPact","challenge_timer.mov;challenge_reward.mp4"
2026-08-23,17,TikTok,18,"Challenge accept -> timer -> reward","Take today's challenge — extra XP awaits.","#DailyChallenge #Motivation #PeakPact","challenge_timer_vertical.mov;challenge_reward_vertical.mp4"
2026-08-24,18,FB/IG,18,"Play tutorial clip -> benefit","Bite-sized tutorials to get you started.","#Tutorials #HowTo #PeakPact","tutorial_clip.mov;tutorial_preview.gif"
2026-08-24,18,TikTok,18,"Play tutorial clip -> benefit","Bite-sized tutorials to get you started.","#Tutorials #HowTo #PeakPact","tutorial_clip_vertical.mov;tutorial_preview_vertical.gif"
2026-08-25,19,FB/IG,18,"Connect calendar -> confirmation -> synced","Connect your calendar and keep everything in sync.","#Integrations #Calendar #PeakPact","connect_calendar.mov;sync_confirm.mov"
2026-08-25,19,TikTok,18,"Connect calendar -> confirmation -> synced","Connect your calendar and keep everything in sync.","#Integrations #Calendar #PeakPact","connect_calendar_vertical.mov;sync_confirm_vertical.mov"
2026-08-26,20,FB/IG,18,"Browse templates -> select -> start","Use mission templates for fast setup and instant wins.","#Templates #StartNow #PeakPact","templates_list.mov;select_template.mov"
2026-08-26,20,TikTok,18,"Browse templates -> select -> start","Use mission templates for fast setup and instant wins.","#Templates #StartNow #PeakPact","templates_list_vertical.mov;select_template_vertical.mov"
2026-08-27,21,FB/IG,18,"Theme switcher -> sound picker -> preview","Customize your app with themes and sounds. Make it yours.","#Personalize #Themes #PeakPact","theme_switcher.mov;sound_picker.mov"
2026-08-27,21,TikTok,18,"Theme switcher -> sound picker -> preview","Customize your app with themes and sounds. Make it yours.","#Personalize #Themes #PeakPact","theme_switcher_vertical.mov;sound_picker_vertical.mov"
2026-08-28,22,FB/IG,18,"Behavior design bullets -> benefit","Built on behavior science to help you stick.","#BehaviorDesign #ScienceBacked #PeakPact","science_bullets.mov;explain_graphic.png"
2026-08-28,22,TikTok,18,"Behavior design bullets -> benefit","Built on behavior science to help you stick.","#BehaviorDesign #ScienceBacked #PeakPact","science_bullets_vertical.mov;explain_graphic_vertical.png"
2026-08-29,23,FB/IG,18,"Invite flow -> friend join -> reward","Invite friends, earn boosts, and grow together.","#Invite #Referral #PeakPact","invite_flow.mov;friend_join.mov"
2026-08-29,23,TikTok,18,"Invite flow -> friend join -> reward","Invite friends, earn boosts, and grow together.","#Invite #Referral #PeakPact","invite_flow_vertical.mov;friend_join_vertical.mov"
2026-08-30,24,FB/IG,18,"Share button -> social composer -> post","Share wins with one tap — celebrate progress publicly.","#ShareWins #Social #PeakPact","share_flow.mov;post_mockup.png"
2026-08-30,24,TikTok,18,"Share button -> social composer -> post","Share wins with one tap — celebrate progress publicly.","#ShareWins #Social #PeakPact","share_flow_vertical.mov;post_mockup_vertical.png"
2026-08-31,25,FB/IG,18,"Testimonial montage -> CTA","Real people, real results — read our success stories.","#Testimonial #Results #PeakPact","testimonial_montage.mp4;before_after.png"
2026-08-31,25,TikTok,18,"Testimonial montage -> CTA","Real people, real results — read our success stories.","#Testimonial #Results #PeakPact","testimonial_montage_vertical.mp4;before_after_vertical.png"
2026-09-01,26,FB/IG,18,"Set automation -> recurring mission -> saved","Automate routines and save mental energy every day.","#Automation #Productivity #PeakPact","automation_flow.mov;recurring_mission.mov"
2026-09-01,26,TikTok,18,"Set automation -> recurring mission -> saved","Automate routines and save mental energy every day.","#Automation #Productivity #PeakPact","automation_flow_vertical.mov;recurring_mission_vertical.mov"
2026-09-02,27,FB/IG,18,"Open support -> coaching options -> message","Get coaching and support when you need a nudge.","#Support #Coaching #PeakPact","support_flow.mov;coaching_options.mov"
2026-09-02,27,TikTok,18,"Open support -> coaching options -> message","Get coaching and support when you need a nudge.","#Support #Coaching #PeakPact","support_flow_vertical.mov;coaching_options_vertical.mov"
2026-09-03,28,FB/IG,18,"Recovery modal -> retry mission -> success","Missed a day? Use recovery tools and get back on track.","#Recovery #Resilience #PeakPact","recovery_modal.mov;retry_mission.mov"
2026-09-03,28,TikTok,18,"Recovery modal -> retry mission -> success","Missed a day? Use recovery tools and get back on track.","#Recovery #Resilience #PeakPact","recovery_modal_vertical.mov;retry_mission_vertical.mov"
2026-09-04,29,FB/IG,18,"Free trial offer -> countdown -> premium features","Limited-time free trial — unlock premium features now.","#FreeTrial #LimitedOffer #PeakPact","trial_offer.mov;countdown_overlay.mp4"
2026-09-04,29,TikTok,18,"Free trial offer -> countdown -> premium features","Limited-time free trial — unlock premium features now.","#FreeTrial #LimitedOffer #PeakPact","trial_offer_vertical.mov;countdown_overlay_vertical.mp4"
2026-09-05,30,FB/IG,20,"30-day montage -> highlights -> CTA","Commit. Progress. Reward. Download PeakPact and start today.","#DownloadNow #PeakPact #Habits","montage_highlights.mov;app_store_badges.png"
2026-09-05,30,TikTok,20,"30-day montage -> highlights -> CTA","Commit. Progress. Reward. Download PeakPact and start today.","#DownloadNow #PeakPact #Habits","montage_highlights_vertical.mov;app_store_badges_vertical.png"
